-15.966 -15.724 -15.6 -15.501 -15.386 -15.374 -15.364 -15.451 -15.562 -15.684 -15.835 -15.925 -15.967 -15.937 -15.955 -15.814 -15.675 -15.447 -15.272 -15.068 -14.931 -14.749 -14.494 -14.33 -14.21 -13.998 -13.934 -13.808 -13.741 -13.84 -13.888 -14.094 -14.349 -14.608 -14.85 -15.192 -15.481 -15.771 -16.061 -16.317 -16.654 -16.865 -17.034 -17.004 -16.924 -16.85 -16.824 -16.751 -16.797 -16.89 -16.93 -17.005 -16.926 -16.778 -16.641 -16.433 -16.242 -16.055 -15.917 -15.836 -15.813
-14.74 -14.759 -14.867 -14.808 -14.913 -14.975 -15.106 -15.313 -15.546 -15.756 -15.983 -16.076 -16.177 -16.323 -16.36 -16.308 -16.291 -16.121 -15.876 -15.658 -15.434 -15.119 -14.874 -14.579 -14.332 -14.097 -13.906 -13.74 -13.63 -13.572 -13.48 -13.576 -13.608 -13.732 -13.886 -14.059 -14.228 -14.413 -14.672 -14.937 -15.197 -15.445 -15.767 -15.929 -16.036 -16.135 -16.223 -16.275 -16.444 -16.708 -16.994 -17.198 -17.445 -17.433 -17.4 -17.358 -17.13 -16.914 -16.684 -16.543 -16.402
-12.436 -12.508 -12.575 -12.749 -12.902 -13.118 -13.28 -13.563 -13.88 -14.151 -14.452 -14.711 -14.972 -15.241 -15.436 -15.689 -15.816 -15.903 -15.884 -15.752 -15.552 -15.282 -15.014 -14.751 -14.437 -14.258 -14.076 -13.805 -13.709 -13.524 -13.399 -13.321 -13.341 -13.363 -13.408 -13.518 -13.644 -13.812 -13.995 -14.253 -14.503 -14.835 -15.195 -15.52 -15.847 -16.102 -16.408 -16.679 -17.011 -17.336 -17.855 -18.293 -18.728 -19.059 -19.249 -19.466 -19.396 -19.243 -19.151 -18.823 -18.818
-10.228 -10.267 -10.33 -10.392 -10.552 -10.737 -10.927 -11.146 -11.437 -11.725 -12.046 -12.428 -12.738 -13.183 -13.591 -13.966 -14.382 -14.709 -14.915 -15.009 -14.975 -14.798 -14.591 -14.348 -14.188 -13.932 -13.737 -13.594 -13.469 -13.351 -13.27 -13.194 -13.286 -13.278 -13.463 -13.608 -13.825 -14.029 -14.338 -14.724 -15.023 -15.339 -15.888 -16.386 -16.936 -17.463 -17.922 -18.442 -18.787 -19.21 -19.681 -19.908 -20.409 -20.901 -21.363 -21.734 -21.909 -22.147 -22.18 -22.269 -22.385
-8.5009 -8.5141 -8.5261 -8.5958 -8.6841 -8.8157 -8.9434 -9.0988 -9.3553 -9.589 -9.9273 -10.292 -10.774 -11.209 -11.762 -12.342 -12.829 -13.375 -13.718 -13.995 -14.025 -13.99 -13.792 -13.603 -13.338 -13.223 -13.083 -12.961 -12.903 -12.924 -12.958 -13.05 -13.269 -13.52 -13.914 -14.316 -14.742 -15.241 -15.746 -16.264 -16.707 -17.171 -17.726 -18.319 -19.071 -19.538 -19.9 -20.157 -20.081 -19.965 -19.745 -19.488 -19.239 -19.11 -18.997 -19.068 -19.215 -19.36 -19.575 -20.05 -20.408
-7.1821 -7.1812 -7.18 -7.1921 -7.246 -7.2861 -7.4069 -7.5306 -7.7119 -7.9472 -8.2612 -8.6433 -9.0731 -9.6053 -10.171 -10.865 -11.551 -12.192 -12.695 -13.081 -13.248 -13.166 -13.034 -12.78 -12.609 -12.431 -12.282 -12.217 -12.244 -12.341 -12.504 -12.81 -13.29 -13.807 -14.548 -15.328 -16.155 -17.088 -17.878 -18.475 -19.043 -19.319 -19.428 -19.555 -19.546 -19.295 -18.915 -18.422 -18.095 -17.81 -17.34 -16.948 -16.493 -16.198 -15.979 -15.895 -15.934 -16.078 -16.22 -16.544 -16.818
-5.9868 -5.9609 -5.9414 -5.9337 -5.9282 -5.9579 -6.0266 -6.1271 -6.281 -6.4806 -6.7664 -7.0974 -7.5328 -8.0493 -8.6393 -9.3679 -10.144 -10.913 -11.606 -12.167 -12.501 -12.522 -12.45 -12.296 -12.132 -11.971 -11.875 -11.798 -11.888 -12.021 -12.292 -12.684 -13.328 -14.001 -14.907 -15.956 -17.003 -17.869 -18.522 -18.793 -18.701 -18.44 -18.052 -17.608 -17.044 -16.531 -16.156 -15.819 -15.556 -15.461 -15.33 -15.177 -15.051 -14.849 -14.77 -14.741 -14.841 -15.009 -15.34 -15.589 -15.905
-4.6436 -4.5834 -4.5185 -4.4723 -4.4473 -4.4689 -4.5063 -4.6036 -4.7552 -4.9411 -5.1953 -5.5198 -5.8987 -6.3799 -6.976 -7.6917 -8.5049 -9.3477 -10.195 -10.979 -11.471 -11.783 -11.854 -11.862 -11.721 -11.633 -11.643 -11.661 -11.832 -12.064 -12.33 -12.839 -13.435 -14.156 -14.96 -15.752 -16.403 -16.774 -16.872 -16.665 -16.33 -16.011 -15.883 -15.638 -15.333 -15.003 -14.757 -14.672 -14.676 -14.824 -14.987 -15.244 -15.373 -15.563 -15.639 -15.936 -16.194 -16.562 -17.031 -17.484 -17.782
-3.2635 -3.1782 -3.0978 -3.0405 -3.0162 -3.018 -3.0833 -3.1644 -3.3052 -3.4879 -3.7181 -4.0088 -4.3747 -4.8313 -5.3825 -6.0351 -6.8102 -7.637 -8.5451 -9.3645 -10.012 -10.504 -10.802 -10.929 -10.969 -11.091 -11.255 -11.487 -11.866 -12.252 -12.753 -13.371 -14.003 -14.686 -15.239 -15.525 -15.547 -15.25 -14.91 -14.506 -14.277 -14.14 -14.15 -14.262 -14.396 -14.509 -14.693 -14.916 -15.218 -15.736 -16.152 -16.779 -17.298 -17.935 -18.571 -19.319 -20.081 -21.154 -21.997 -22.703 -23.167
-2.1918 -2.0639 -1.9985 -1.9093 -1.8889 -1.8794 -1.9175 -1.9888 -2.1127 -2.2682 -2.4876 -2.7465 -3.0607 -3.4703 -3.9691 -4.5755 -5.2865 -6.0972 -6.935 -7.7642 -8.4504 -9.0188 -9.3818 -9.6217 -9.8189 -10.017 -10.322 -10.805 -11.388 -12.172 -13.14 -14.135 -15.185 -15.857 -15.971 -15.576 -14.76 -13.981 -13.278 -12.834 -12.622 -12.655 -12.961 -13.393 -13.998 -14.675 -15.422 -16.145 -16.975 -17.779 -18.645 -19.499 -20.209 -20.858 -21.413 -22.214 -22.589 -22.67 -22.609 -22.083 -21.765
