493.0       | -0.8        
614.1       | -0.8        
730.9       | -0.8        
852.1       | -0.9        
977.8       | -0.9        
1116.4      | -0.9        
1251.7      | -0.9        
1391.6      | -1.0        
1536.9      | -1.0        
1697.8      | -1.0        
1853.2      | -1.1        
2014.6      | -1.1        
2183.2      | -1.1        
2370.7      | -1.3        
2554.5      | -1.3        
2746.5      | -1.3        
2946.8      | -1.4        
3170.8      | -1.5        
3391.0      | -1.4        
3621.6      | -1.6        
3864.4      | -1.7        
4138.2      | -1.8        
4409.5      | -1.8        
4695.7      | -1.9
