499.7       | -0.8        
616.0       | -0.8        
735.3       | -0.8        
859.9       | -0.9        
988.9       | -0.9        
1121.5      | -0.9        
1259.2      | -1.0        
1402.2      | -1.0        
1550.4      | -1.0        
1703.7      | -1.1        
1861.5      | -1.1        
2026.5      | -1.1        
2198.4      | -1.2        
2377.4      | -1.3        
2564.1      | -1.3        
2758.8      | -1.4        
2962.3      | -1.4        
3175.0      | -1.5        
3397.5      | -1.5        
3632.1      | -1.5        
3879.1      | -1.7        
4140.8      | -2.0        
4417.0      | -1.8        
4709.9      | -2.1

