          1198251.225 |      0.098 |    4885.03 |   -2.075611 |  -0.002 |          1198251.221
          1198251.293 |      0.098 |    4883.79 |   -2.040054 |  -0.001 |          1198251.291
          1198251.361 |      0.098 |    4882.07 |   -2.167466 |  -0.002 |          1198251.361
          1198251.430 |      0.098 |    4880.44 |   -2.167466 |  -0.001 |          1198251.421
          1198251.498 |      0.098 |    4879.12 |   -2.326141 |  -0.000 |          1198251.491
          1198251.569 |      0.098 |    4877.75 |   -2.079484 |  -0.000 |          1198251.561
          1198251.637 |      0.098 |    4876.59 |   -1.919805 |  -0.003 |          1198251.631
          1198251.708 |      0.098 |    4875.18 |   -1.919805 |  -0.002 |          1198251.701
          1198251.777 |      0.098 |    4873.56 |   -2.025660 |  -0.003 |          1198251.771
          1198251.848 |      0.098 |    4872.20 |   -2.302511 |  -0.005 |          1198251.841
          1198251.916 |      0.098 |    4870.55 |   -2.302511 |  -0.006 |          1198251.911
          1198251.986 |      0.098 |    4869.03 |   -2.241992 |  -0.008 |          1198251.981
          1198252.054 |      0.098 |    4867.88 |   -2.032740 |  -0.004 |          1198252.051
          1198252.126 |      0.098 |    4866.38 |   -2.032740 |  -0.001 |          1198252.121
          1198252.194 |      0.098 |    4864.89 |   -2.012199 |  -0.003 |          1198252.191
          1198252.265 |      0.098 |    4863.62 |   -2.116862 |  -0.000 |          1198252.261
          1198252.333 |      0.098 |    4861.99 |   -2.175747 |  -0.001 |          1198252.331
          1198252.404 |      0.098 |    4860.29 |   -2.175747 |  -0.000 |          1198252.401
          1198252.472 |      0.098 |    4859.14 |   -2.221290 |  -0.002 |          1198252.471
          1198252.542 |      0.098 |    4857.69 |   -1.994046 |  -0.003 |          1198252.541
          1198252.610 |      0.098 |    4856.46 |   -1.994046 |  -0.002 |          1198252.601
          1198252.678 |      0.098 |    4854.92 |   -2.093975 |  -0.001 |          1198252.670
          1198252.746 |      0.098 |    4853.58 |   -2.143659 |  -0.003 |          1198252.740
          1198252.818 |      0.098 |    4851.94 |   -2.143659 |  -0.003 |          1198252.810
          1198252.886 |      0.098 |    4850.48 |   -2.237847 |  -0.005 |          1198252.880
          1198252.956 |      0.098 |    4849.29 |   -1.986326 |  -0.004 |          1198252.950
          1198253.024 |      0.098 |    4847.93 |   -1.986326 |  -0.003 |          1198253.020
          1198253.092 |      0.098 |    4846.57 |   -1.892134 |  -0.001 |          1198253.090
          1198253.161 |      0.098 |    4844.92 |   -2.273045 |  -0.002 |          1198253.160
          1198253.231 |      0.098 |    4843.57 |   -2.236817 |  -0.001 |          1198253.230
          1198253.299 |      0.098 |    4842.10 |   -2.236817 |   0.002 |          1198253.290
          1198253.367 |      0.098 |    4840.89 |   -2.037046 |  -0.002 |          1198253.360
          1198253.435 |      0.098 |    4839.41 |   -2.039221 |  -0.003 |          1198253.430
          1198253.507 |      0.098 |    4837.87 |   -2.039221 |  -0.004 |          1198253.500
          1198253.575 |      0.098 |    4836.54 |   -2.113165 |  -0.004 |          1198253.570
          1198253.643 |      0.098 |    4834.88 |   -2.232890 |  -0.004 |          1198253.640
          1198253.710 |      0.098 |    4833.68 |   -2.232890 |  -0.004 |          1198253.700
          1198253.778 |      0.098 |    4832.19 |   -1.988397 |  -0.002 |          1198253.770
          1198253.846 |      0.098 |    4830.98 |   -2.097080 |  -0.003 |          1198253.840
          1198253.914 |      0.098 |    4829.71 |   -2.097080 |  -0.001 |          1198253.910
          1198253.982 |      0.098 |    4828.14 |   -2.052542 |  -0.002 |          1198253.980
          1198254.050 |      0.098 |    4826.76 |   -2.194378 |  -0.006 |          1198254.040
          1198254.118 |      0.098 |    4825.24 |   -2.194378 |  -0.004 |          1198254.110
          1198254.189 |      0.098 |    4823.71 |   -2.172431 |  -0.004 |          1198254.180
